Identifier,Serotype
2713897042,O77/O17/O44/O106/O73:H18
2713897056,O91:H21
2718218135,O103:H16
2718218304,O116:H38
2721755663,O116:H38
2721755676,O160:H40
2724678973,O8/O30:H28
2724678985,O111:H8
2724679058,O1:H6
2724679059,O84:H23
2724679074,O89:H9
2724679138,O179:H8
2724679140,-:H21
2724679293,O26:H11
2728369103,O25:H4
2728369105,O89:H21
2728369181,O22:H5
2728369182,O2/O50:H1
2728369183,O16:H6
2728369185,O18:H7
2728369593,O142:H6
2734482770,-:H12
2734482771,O3:H38
2734482773,O29:H34
2734482774,-:H29
2734482778,O23:H28
2734482781,O83:H7
2734482785,O100:H19
2737471818,-:H7
2737471819,O182:H25
2737471820,O15:H11
2737471821,O141:H4
2737471836,O87:H7
2737471840,O42/O28:H21
2737471844,-:H28
2737471846,O165:H25
2737471847,O32:H37
2737471849,O4:H11
2737471850,-:H37
2737471852,O128:H29
2737471853,O100:H30
2737471857,O109:H28
2737471860,O9:H9
2737471864,O84:H11
2737471867,O162/O101:H7
2737471869,O136:H16
2737471870,-:H7
2737471992,O25:H4
2737471993,O25:H4
2740892005,O25:H4
2740892012,O25:H4
2740892013,O25:H4
2740892014,O25:H4
2740892015,O25:H4
2740892019,O25:H4
2740892020,O25:H4
2740892021,O25:H4
2740892024,O25:H4
2740892027,O25:H4
2740892028,O25:H4
2740892029,O25:H4
2740892030,O25:H4
2740892037,O25:H4
2740892040,O25:H4
2740892041,O86:H18
2740892043,O25:H4
2740892047,O25:H4
2740892051,O25:H4
2740892103,O25:H4
2740892104,O25:H4
2740892107,O25:H4
2740892111,O25:H4
2740892114,O25:H4
2740892115,O25:H4
2740892118,O11:H4
2740892121,O25:H4
2740892122,O25:H4
2740892209,O119:H6
2740892210,O119:H6
2740892211,O119:H6
2740892212,O119:H6
2740892213,O119:H6
2740892214,O119:H6
2740892231,O174:H8
2740892232,O75:H7
2740892233,O26:H11
2740892235,O113:H21
2740892281,-:H8
2740892369,O26:H11
2740892370,O103:H2
2740892371,O145:-
2740892372,O145:-
2740892422,O36:H19
2740892423,O9:H10
2740892426,O6:H5
2740892429,O4:H5
2740892430,O1:H6
2740892444,O173:H51
2740892445,O132:H14
2740892487,O7:H4
2740892523,O157:H7
2740892524,O157:H7
2740892525,O157:H7
2744054508,O25:H4
2744054629,O11:H25
2744054632,O11:H25
2744054872,-:H25
2744054912,-:H26
2744054962,O11:H25
2744054976,O86:H12
2744054977,O86:H12
2744054978,O25:H4
2744054979,O25:H4
2778260969,O157:H7
2778260992,O8:H28
2778260994,O153:H25
2778260997,O153/O178:H7
2778261005,O157:H7
2778261006,O157:H7
2778261009,O146:H2
2778261033,O157:H7
2778261035,O120:H10
2778261036,O157:H7
2778261037,O157:H7
2778261039,O157:H7
2778261083,-:H25
2778261084,O29:H25
2778261085,O35:H16
2778261087,O45:H10
2778261089,O45:H4
2778261093,O159:H4
2778261094,O148:H28
2778261101,O157:H7
2778261103,O157:H7
2778261105,O76:H19
2778261121,-:H1
2778261122,O166:H6
2778261136,O15:H27
2778261139,O130:H11
2778261152,-:H5
2778261153,O76:H14
2778261162,O22:H21
2778261163,O115:H2
2778261166,O159:H21
2778261172,O105:H8
2778261175,O7:H6
2778261176,O2:H6
2778261177,O9:H7
2778261180,O114:H4
2778261181,O136:H40
2778261182,O112:H31
2778261204,O108:H43
2778261214,O26:H11
2778261215,O181:H28
2778261217,-:H32
2778261222,O123/O186:H11
2778261224,O86:H18
2778261226,O36:H5
2778261227,O61:H2
2778261229,O9:H5
2778261231,O19:-
2778261236,O157:H7
2778261237,O157:H7
2778261238,O157:H7
2778261247,O2/O50:H5
2778261252,O3:H4
2778261268,O141:H4
2778261270,O8/O32:H19
2778261274,O109:H14
2778261297,-:H38
2778261301,O88:H25
2778261303,O146:H20
2778261313,O132:H8
2778261315,O6:H1
2778261316,O148:H53
2778261341,O6:H34
2778261342,O6:H34
2778261343,O6:H34
2778261344,O103:H2
2778261345,O6:H34
2778261354,O58:H51
2778261355,O25:H16
2778261357,O2/O50:H1
2778261375,O49:H19
2778261379,O25:H4
2778261386,O147:H7
2778261387,O25:H4
2778261388,O1:H6
2778261393,O7:H6
2778261394,-:H7
2778261396,O184:H30
2778261414,O157:H7
2778261415,O151/O118:H16
2778261420,O115:H25
2778261421,O15:H18
2778261425,O102:H40
2778261447,O127:H17
2778261448,O168:H16
2778261450,O103:H21
2778261451,O8:H9
2778261454,O32:H35
2778261455,O39:H21
2778261457,O3:H21
2778261458,O7:H24
2778261460,O6:H49
2778261494,O157:H7
2778261499,-:H21
2778261503,O6:H1
2778261505,O2:H1
2778261506,O53:H18
2778261507,O15:H45
2778261508,O132:H2
2778261509,O121:H10
2778261510,O35:H6
2778261512,O132:H2
2778261513,O45:H9
2778261514,O91:H14
2778261526,O9:H12
2778261529,O150:H8
2778261530,O2:H5
2778261538,O88:H4
2778261540,O146:H10
2778261542,O9:H19
2778261545,-:H7
2778261559,O15:H11
2778261565,O2/O50:H4
2778261567,O146:H21
2778261573,O184:H30
2778261574,O91:H10
2778261575,O85:H1
2778261576,-:H42
2778261578,O184:H30
2778261579,O149:H1
2778261591,O84:H2
2778261619,O23:H16
2778261630,O120:H14
2778261631,O82:H8
2778261637,O2/O50:H4
2778261638,-:H8
2778261639,O108:H9
2778261640,O124:H29
2778261644,O119:H26
2778261646,O7:H45
2778261661,O157:H7
2778261670,O150:H8
2778261673,-:H4
2778261675,-:H21
2778261686,O160:H30
2778261687,O42/O28:H37
2778261692,O15:H21
2778261696,O100:H25
2778261704,O157:H7
2778261705,O157:H7
2778261707,O157:H7
2839610755,O157:H7
2843024892,O157:H7
2851938318,O111:H8
2851944044,O104:H4
2861079508,O15:H42
2861084961,O78:H4
2875713109,O9/O30:H25
2909314774,O25:H4
2925891887,-:H32
2925908680,-:H11
2925939204,O131:H31
638341085,O148:H28
638341087,O103:H2
641736214,O157:H7
641736220,O157:H7
641736221,O157:H7
641736224,O157:H7
641736225,O157:H7
641736226,O157:H7
645058835,O18:H7
645951847,O157:H7
645951861,O157:H7
648276644,O88:H25
648276647,O39:H4
648276653,O8:H17
648276664,O153:H6
648276667,O2:H6
648276671,-:H34
649989948,-:H8
