Identifier,Serotype
2545824712,O8/O32:H19
2545824713,O8/O32:H19
2545824714,O6:H16
2545824719,O115:H5
2545824742,O115:H5
2547132214,O157:H7
2547132216,O157:H7
2547132220,O157:H7
2547132252,O157:H7
2547132254,O9:H9
2547132278,O115:H5
2547132418,O109:H51
2547132420,-:H18
2547132488,-:H21
2548876529,O104:H4
2548876695,O45:H2
2548876696,O145:-
2548876698,O26:H11
2548876699,O55:H7
2548876701,O26:H11
2548876702,O55:H7
2548876703,O55:H7
2548876853,O103:H25
2548876855,O157:H7
2548876856,-:H21
2548876858,O119:H6
2548876859,O119:H6
2548876861,O157:H45
2548876863,O49:H10
2548876865,-:H8
2548876867,O103:H2
2548876868,O26:H11
2548876869,O104:H4
2548876932,O145:-
2548876936,O55:H34
2548876940,O26:H8
2548876941,-:H2
2548876942,-:H2
2548876947,O145:H34
2548876948,O86:H8
2548876949,O26:H11
2548876950,O103:H8
2548876953,O26:H11
2548876956,O98:H8
2548876957,O26:H11
2548876958,O128:H8
2548876963,O127/O90:H45
2548877010,O157:H7
2551306139,O157:H7
2551306491,O157:H7
2551306525,O78:H9
2551306674,O91:H14
2554235123,O15:H18
2554235177,O77/O17/O44/O106:H18
2554235179,O77/O17/O44/O106/O73:H18
2554235184,O77/O17/O44/O106:H18
2554235185,O77/O17/O44/O106:H18
2554235186,O77/O17/O44/O106/O73:H18
2554235187,O77/O17/O44/O106:H18
2554235188,O77/O17/O44/O106:H18
2554235297,O127:H6
2554235304,O127:H6
2558860472,O15:H21
2558860473,O15:H21
2562617113,O157:H43
2562617133,O115:H5
2563366768,O157:H7
2563366799,O71:H12
2563366800,O21:H10
2563366802,O45:H16
2563366803,O9:H21
2563366806,O75:H38
2563366819,O120:H48
2563366820,O142:H28
2563366822,O108:H8
2563366823,O22:H1
2563366824,O17/O77/O44/O106/O73:H18
2563366825,O141:H32
2563366829,-:H4
2563366830,-:H4
2563366832,O11:H4
2563366834,O86:H1
2563366836,O77/O17/O44/O106/O73:H18
2563366837,O86:H18
2563366838,O12:H4
2563366839,O8:H9
2563366840,O11:H11
2563366841,O1:H7
2563366843,O166:H15
2563366851,O77/O17/O44/O106/O73:H18
2563366858,O2:H6
2563366864,O25:H4
2563366866,O77/O17/O44/O106/O73:H18
2563366867,O75:H5
2563366868,O2:H6
2563366870,O21:H14
2563366871,O2:H6
2563366873,O2/O50:H1
2563366874,O2/O50:H4
2563366878,O17/O77/O44/O106/O73:H18
2563366879,O8:H10
2563366881,O4:H5
2563366882,O83:H27
2563366883,O169:H9
2563366884,O2:H6
2563366888,O12:H4
2563366889,O86:H18
2563366891,O2/O50:H4
2563366892,O77/O17/O44/O106/O73:H18
2563366894,O86:H1
2563366896,O11:H4
2563366897,O75:H5
2563366901,O6:H1
2563366902,O75:H5
2563366903,O81:H27
2563366904,O22:H1
2563366905,O25:H1
2563366909,O2/O50:H7
2563366911,O8:H9
2563366914,O2:H6
2563366917,O1:H7
2563366918,O15:H18
2563366919,O2/O50:H7
2563366921,O25:H1
2563366923,O40:H7
2563366924,-:H9
2563366926,O86:H18
2563366927,O86:H18
2563366928,O1:H7
2563366933,O120:H4
2563366935,O2/O50:H4
2563366941,O10:H4
2563366942,O1:H7
2563366943,O1:H7
2563366944,O1:H7
2563366947,O4:H1
2563366951,O8:H30
2563366952,O1:H7
2563366955,O77/O17/O44/O106/O73:H18
2563366956,O1:H7
2563366957,O45:H7
2563366958,O1:H7
2563366960,O2:H6
2563366963,O25:H4
2563366967,O2:H6
2563366968,O2/O50:H48
2563366969,O46:H31
2563366971,O83:H33
2563366972,O104:H2
2563366973,O25:H4
2563366974,O45:H7
2563366975,O15:H1
2563366976,-:H4
2563366978,O6:H1
2563366980,O18:H7
2563366981,O4:H27
2563366982,O75:H5
2563366985,O23:H45
2563366988,O2:H6
2563366990,O146:H28
2563366991,O153:H30
2563366992,O147:H32
2563367000,O75:H5
2563367001,O2:H6
2563367003,O1:H7
2563367158,O54:H45
2565956602,O153:H6
2565956603,O77/O17/O44/O106:H18
2565956608,O2/O50:H4
2565956612,O75:H5
2565956613,O102:H6
2565956616,O8:H23
2565956619,O16:H5
2565956620,O1:H34
2565956709,O64:H21
2565956710,O4:H1
2565956711,O125:H38
2565956712,O22:H1
2565956714,O8/O133:H20
2565956716,O11:H12
2565956717,O120:H4
2565956718,O15:H1
2565956719,O2/O50:H4
2565956724,-:H4
2565956725,O6:H31
2565956726,O2/O50:H4
2565956729,O4:H5
2565956762,O166:H15
2568526230,O25:H4
2568526349,O25:H4
2568526749,O1:H7
2571042053,O45:H2
2571042167,O24:H4
2571042438,O1:H6
2571042445,O102:H6
2571042621,O26:H11
2571042636,O8:H25
2571042668,O25:H4
2571042690,O25:H4
2571042732,O54:H45
2571042870,O78:H9
2574179839,O25:H4
2574180019,O6:H1
2574180227,O81:H27
2576861193,O167:H26
2579778529,O25:H10
2579778554,O75:H5
2579778601,O25:H4
2579778606,O102:H6
2579778622,O11:H4
2579778631,-:H51
2579778635,O8:H30
2579778647,O111:H2
2579778654,O23:H16
2579778660,O8:H9
2579778674,O120:H10
2579778686,O1:H6
2579778725,O25:H4
2579778745,-:H40
2579778748,O1:H15
2579778755,-:H6
2579778778,O23:H16
2579778786,O9:H9
2579778791,O111:H2
2579778804,O174:H21
2579778812,O81:H27
2579778842,O149:H10
2579778866,O4:H5
2579778871,O8:H49
2579778873,O8:H9
2579778880,O102:H6
2579778894,-:H2
2579778903,O25:H4
2579778919,-:H35
2579778921,O23:H16
2579778929,-:H30
2579778982,-:H2
2579778993,-:H30
2579779002,-:H30
2579779007,O169:H46
2579779024,O25:H4
2579779034,O25:H4
2579779049,O111:H8
2579779076,O174:H2
2579779084,-:H41
2579779116,O115:H10
2582580934,O23:H16
2582581022,O127/O90:H6
2585427708,O103:H11
2585427709,O157:H7
2585427710,O145:-
2585427727,O166:H15
2585427732,O25:H4
2585427735,O175:H27
2585427736,O117/O107:H10
2585427741,O117/O107:H10
2585427743,O115:H5
2585427746,-:H10
2585427747,O77/O17/O44/O106:H18
2585427750,O88:H25
2585427752,O4:H40
2585427753,O4:H40
2585427754,O174:H7
2585427756,O15:H4
2585427757,O163:H19
2585427758,O130:H26
2585427763,O4:H40
2585427764,O174:H7
2585427767,O77/O17/O44/O106/O73:H18
2585427768,O128:H10
2585427771,O4:H40
2585427773,O174:H7
2585427774,O154:H4
2585427780,O38:H26
2585427781,O38:H26
2585427783,O6:H16
2585427787,O58:H32
2585427789,O7:H4
2585427793,O16:H48
2585427795,O58:H32
2585427868,O157:H7
2585427964,-:H4
2585427969,O15:H6
2585428014,O3:H4
2600255112,O6:H1
2602041549,O159:H34
2602041669,O111:H8
2602041671,O104:H21
2603880148,-:H20
2606217102,O7:H4
2606217105,-:H10
2609459774,O8:H9
2609459791,O85:H10
2609459792,O9:H21
2609459801,O130:H26
2609459804,O81:H27
2609459819,O127:H4
2609459822,O86:H18
2609459824,O81:H27
2609459831,O117/O107:H10
2609459832,O136:H25
2609459833,O29:H4
2609459840,O60:H5
2609459845,-:H10
2609459846,O8:H10
2609459849,O18:H5
2609459852,O166:H15
2609459854,O103:H16
2609459860,O153:H12
2609460053,O15:H6
2609460060,-:H4
2609460210,O16:H5
2609460221,O102:H6
2609460224,O16:H5
2609460332,O25:H4
2609460346,O4:H40
2617270938,O9:H4
2617270943,O8:H33
2617270944,O9:H21
2617270946,-:H10
2617270947,O176:H33
2617270952,O78:H2
2617270953,O154:H4
2617270954,O104:H4
2617270957,O77/O17/O44/O106/O73:H18
2617270961,O60:H5
2617270963,O176:H33
2617270964,O162/O101:H5
2617270968,O78:H2
2617270977,O25:H4
2617270980,-:H20
2617270986,O77/O17/O44/O106/O73:H18
2617270988,O157:H39
2617270990,-:H20
2617270991,O81:H27
2617271071,O25:H4
2617271072,-:H21
2617271085,O153:H30
2617271086,O89:H9
2619619130,O103:H16
2619619131,-:H10
2619619132,O176:H33
2619619134,O130:H26
2623620499,-:H23
2623620501,O21:H4
2623620506,O174:H28
2627853795,O128:H21
2627853815,O77/O17/O44/O106/O73:H18
2630968342,O169:H45
2630968414,O157:H7
2630968933,O169:H45
2636415673,O77/O17/O44/O106:H1
2636415833,O163:H14
2636416136,-:H4
2639762873,-:H16
2639762960,O18:H7
2639762987,-:H6
2639763121,O157:H7
2639763180,O119:H23
2645727529,O163:H14
2645727562,O88:H25
2645727593,O142:H6
2645727640,-:H2
2645727669,O55:H51
2645727743,-:H27
2645727810,O127:H6
2645727821,O18:H7
2645727843,O70:H40
2645727868,O25:H4
2645727945,O55:H51
2645727948,O127:H6
2645728048,O114:H2
2645728078,-:H7
2648501149,O119:H6
2648501165,O98:H21
2648501208,O8:H17
2648501230,O88:H25
2648501257,O157:H7
2648501321,O156:H23
2648501338,O145:-
2648501345,O89:H21
2648501361,O18:H7
2648501437,O126:H2
2648501461,O2/O50:H1
2648501669,O9:H10
2648501730,O145:-
2648501784,O33:H34
2648501839,-:H7
2648501841,O157:H7
2651869691,O51:H49
2651869692,O85:H31
2651869696,-:H2
2651869724,O55:H51
2651869725,O119:H6
2651869748,O33:H34
2651869749,O33:H34
2651869755,O15:H4
2651869781,O142:H34
2651869782,O119:H6
2651869785,O169:H45
2654587569,O119:H6
2654587570,-:H2
2654587571,O88:H25
2654587674,O102:H6
2654587686,O55:H51
2654587728,-:H6
2654587746,O26:H9
2654587792,-:H2
2657244943,O117/O107:H12
2657245006,O8:H11
2657245050,O166:H15
2657245086,O8:H11
2657245091,O45:H2
2657245124,O8:H9
2657245421,O157:H7
2657245439,-:H34
2657245464,O157:H7
2657245469,O4:H5
2657245509,O157:H7
2657245570,O2/O50:H30
2657245579,-:H6
2660237927,O8:H11
2660237930,O4:H5
2660237967,O157:H7
2660238008,O36:H55
2660238233,O157:H7
2660238269,O151/O118:H12
2660238306,O157:H7
2660238322,O8:H11
2660238339,O157:H7
2660238346,-:H7
2660238352,-:H7
2660238398,O4:H5
2660238401,O157:H7
2660238423,O26:H11
2660238524,-:H4
2660238531,O8:H11
2660238548,O123/O186:H2
2660238591,O8:H11
2660238600,-:H19
2660238642,O25:H4
2663762841,O8:H9
2663762849,-:H7
2663762857,-:H7
2663762858,O4:H5
2663762893,O22:H1
2663762939,O2/O50:H4
2663763127,O157:H7
2663763159,O102:H6
2663763160,O8:H11
2663763227,O1:H7
2663763331,O8:H11
2663763339,-:H2
2663763400,O18:H7
2663763428,O89:H10
2663763458,O4:H5
2663763471,O25:H4
2663763539,O157:H7
2667527591,-:H7
2667527592,O85:H1
2667527595,-:H7
2667527608,O123/O186:H2
2667527787,O8:H11
2667527789,O128:H2
2667527818,-:H19
2667527832,O157:H7
2667527953,-:H7
2667527965,O18:H14
2667527976,O4:H5
2667527993,O157:H7
2667528028,O157:H7
